what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1416347955352
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1416347955358
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1416347955362
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1416347955370
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1416347955375
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1416347955383
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1416347955396
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1416347955405
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1416347955451
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1416347955456
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1416347955474
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1416347955478
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1416347955481
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1416347955484
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1416347955491
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1416347955511
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1416347955515
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1416347955519
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1416347955528
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1416347955533
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1416347955574
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1416347955577
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1416347955582
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1416347955587
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1416347955587
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1416347955592
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416347955594
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416347955604
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416347955604
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416347955606
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416347955611
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1416347955653
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416347955656
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1416347955682
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1416347955686
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1416347955691
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1416347955695
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1416347955698
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1416347955740
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1416347955749
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1416347955755
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1416347955757
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1416347955768
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1416347955774
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1416347955822
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1416347955825
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1416347955825
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1416347955829
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1416347955871
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1416347955874
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1416347955878
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416347955881
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1416347955906
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416347955911
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1416347955921
os,sysinfo,,,"win32",1416347955950
arch,sysinfo,,,"x86_64",1416347955950
ws,sysinfo,,,"win32",1416347955951
locale,sysinfo,,,"es_AR",1416347955951
processors,sysinfo,,,"4",1416347955951
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416347955951
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1416347955951
java.specification.name,sysinfo,,,"Java Platform API Specification",1416347955951
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416347955951
java.specification.version,sysinfo,,,"1.8",1416347955952
java.vendor,sysinfo,,,"Oracle Corporation",1416347955952
java.version,sysinfo,,,"1.8.0_25",1416347955952
java.vm.info,sysinfo,,,"mixed mode",1416347955952
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1416347955952
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416347955952
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416347955952
java.vm.specification.version,sysinfo,,,"1.8",1416347955952
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416347955952
java.vm.version,sysinfo,,,"25.25-b02",1416347955952
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1416347955993
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1416347957628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348113009
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1416348122552
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1416348122572
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1416348129498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348165766
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1416348166320
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1416348166982
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1416348167091
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1416348167306
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1416348167576
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1416348168544
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1416348168646
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1416348168914
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1416348169430
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1416348170096
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1416348174782
jar,m2e.packaging,org.eclipse.m2e.core,1.0.100,"jar",1416348175273
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1416348175273
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1416348175273
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1416348175273
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1416348175273
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-compiler-plugin:2.3.2",1416348175274
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-surefire-plugin:2.7.1",1416348175274
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1416348175274
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1416348175274
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1416348175274
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.100,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1416348175274
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1416348178519
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1416348178606
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1416348180775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348185479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348186551
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1416348191081
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1416348191241
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1416348191310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348237489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348301257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348319625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348320489
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1416348322972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348333614
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1416348333869
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1416348334074
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1416348334230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348334296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348334632
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1416348352866
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1416348352871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348364831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348364990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348365159
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1416348365264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348383613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348414051
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1416348414076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416348463030
